Temporada;Jugador_CodigoFBRef;Jugador;Equipo_CodigoFBRef;Pais_Codigo;Delantero;Fecha;Dia;Ronda;Sedes;Resultado;Equipo;Adversario;Arranque_Partido_Capitan;Posicion_Jugador;Monitos_Jugados;Rendimiento_GolesMarcados;Rendimiento_Asistencias;Rendimiento_TirosPenalesEjecutados;Rendimiento_TirosPenalesIntentados;Rendimiento_TotalDisparos;Rendimiento_LanzamientoEnObjetivo;Rendimiento_TarjetasAmarillas;Rendimiento_TarjetasRojas;Rendimiento_Toques;Rendimiento_Derribos;Rendimiento_Intercepciones;Rendimiento_Bloqueos;Expectativa_GolesEsperados;Expectativa_GolesEsperadosSinPenaltis;Expectativa_GolesEsperadosConAsistencia;AccionesParaCreacionDeTiros;AccionesParaCreacionDeGoles;PasesCompletados;PasesIntentados;PorcentajeCumplimientoDePases;PasesProgresivos;TransporteVecesControlaBalon;TransporteAcarreosProgresivos;TomasIntentadasEnfrentadoDefensor;TomasExitosasEnfrentando
2021-2022;cee88597;Iván Balliu;98e8af82;ALB;NO;2022-01-02;Dom;Semana 19 de partido;Visitante;D 0–2;Rayo Vallecano;Atlético Madrid;Sí;RB;90;0;0;0;0;1;0;0;0;64;1;1;0;0.0;0.0;0.0;3;0;39;50;78.0;3;43;4;2;1
2021-2022;cee88597;Iván Balliu;98e8af82;ALB;NO;2022-01-09;Dom;Semana 20 de partido;Local;E 1–1;Rayo Vallecano;Betis;Sí;RB;90;1;0;0;0;3;1;0;0;75;1;0;0;0.4;0.4;0.4;7;0;49;67;73.1;7;33;4;0;0
2021-2022;a58bb1e1;Gareth Bale;53a2f082;WAL;SI;2022-04-17;Dom;Semana 32 de partido;Visitante;V 3–2;Real Madrid;Sevilla;No;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.
2021-2022;1fe67e86;Mikel Balenziaga;2b390eca;ESP;NO;2021-09-21;Mar;Semana 6 de partido;Local;D 1–2;Athletic Club;Rayo Vallecano;No;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.
2021-2022;cee88597;Iván Balliu;98e8af82;ALB;NO;2022-02-05;Sáb;Semana 23 de partido;Visitante;D 0–2;Rayo Vallecano;Celta Vigo;Sí;RB;90;0;0;0;0;0;0;0;0;61;2;3;1;0.0;0.0;0.1;2;0;37;47;78.7;6;28;1;2;0
2021-2022;cee88597;Iván Balliu;98e8af82;ALB;NO;2022-02-12;Sáb;Semana 24 de partido;Local;D 0–3;Rayo Vallecano;Osasuna;Sí;RB;90;0;0;0;0;0;0;0;0;71;1;2;0;0.0;0.0;0.3;3;0;38;59;64.4;3;22;2;2;1
2021-2022;cee88597;Iván Balliu;98e8af82;ALB;NO;2022-02-18;Vie;Semana 25 de partido;Visitante;D 1–2;Rayo Vallecano;Elche;Sí;RB;90;0;0;0;0;1;0;1;0;68;1;1;0;0.0;0.0;0.0;2;0;44;58;75.9;4;34;3;3;1
2021-2022;1fe67e86;Mikel Balenziaga;2b390eca;ESP;NO;2021-10-26;Mar;Semana 11 de partido;Visitante;E 1–1;Athletic Club;Espanyol;No;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.
2021-2022;1fe67e86;Mikel Balenziaga;2b390eca;ESP;NO;2021-11-05;Vie;Semana 13 de partido;Local;D 0–1;Athletic Club;Cádiz;Sí;LB;90;0;0;0;0;1;0;0;0;69;1;0;2;0.0;0.0;0.0;1;0;51;62;82.3;6;27;0;1;1
2021-2022;1fe67e86;Mikel Balenziaga;2b390eca;ESP;NO;2021-11-19;Vie;Semana 14 de partido;Visitante;E 0–0;Athletic Club;Levante;Sí;LB;90;0;0;0;0;0;0;0;0;66;1;0;2;0.0;0.0;0.0;0;0;39;54;72.2;4;24;0;0;0
2021-2022;1fe67e86;Mikel Balenziaga;2b390eca;ESP;NO;2021-11-26;Vie;Semana 15 de partido;Local;E 2–2;Athletic Club;Granada;Sí;LB;77;0;0;0;0;0;0;0;0;40;0;1;0;0.0;0.0;0.0;0;0;29;36;80.6;1;20;0;1;0
2021-2022;1fe67e86;Mikel Balenziaga;2b390eca;ESP;NO;2021-12-01;Mié;Semana 9 de partido;Visitante;D 0–1;Athletic Club;Real Madrid;Sí;LB;90;0;0;0;0;0;0;0;0;53;0;2;3;0.0;0.0;0.0;0;0;31;43;72.1;4;21;3;0;0
2021-2022;1fe67e86;Mikel Balenziaga;2b390eca;ESP;NO;2021-12-11;Sáb;Semana 17 de partido;Local;D 0–1;Athletic Club;Sevilla;Sí;LB;90;0;0;0;0;0;0;0;0;68;4;0;0;0.0;0.0;0.0;1;0;49;63;77.8;3;34;6;0;0
2021-2022;1fe67e86;Mikel Balenziaga;2b390eca;ESP;NO;2021-12-19;Dom;Semana 18 de partido;Local;V 3–2;Athletic Club;Betis;Sí;LB;90;0;0;0;0;0;0;0;0;54;2;2;1;0.0;0.0;0.0;2;0;36;45;80.0;2;18;0;2;1
2021-2022;1fe67e86;Mikel Balenziaga;2b390eca;ESP;NO;2021-12-22;Mié;Semana 21 de partido;Local;D 1–2;Athletic Club;Real Madrid;Sí;LB;62;0;0;0;0;3;0;1;0;37;0;1;0;0.1;0.1;0.1;2;0;24;28;85.7;3;17;0;0;0
2021-2022;1fe67e86;Mikel Balenziaga;2b390eca;ESP;NO;2022-01-03;Lun;Semana 19 de partido;Visitante;V 3–1;Athletic Club;Osasuna;Sí;LB;89;0;0;0;0;0;0;0;0;61;2;1;4;0.0;0.0;0.0;1;0;32;44;72.7;4;16;2;1;0
2021-2022;1fe67e86;Mikel Balenziaga;2b390eca;ESP;NO;2022-01-09;Dom;Semana 20 de partido;Visitante;E 0–0;Athletic Club;Alavés;Sí;LB;90;0;0;0;0;0;0;0;0;60;3;1;1;0.0;0.0;0.1;1;0;35;46;76.1;1;24;2;2;1
2021-2022;1fe67e86;Mikel Balenziaga;2b390eca;ESP;NO;2022-01-23;Dom;Semana 22 de partido;Visitante;V 1–0;Athletic Club;Rayo Vallecano;Sí*;LB;90;0;0;0;0;1;1;0;0;40;0;1;1;0.0;0.0;0.0;0;0;19;27;70.4;4;13;1;0;0
2021-2022;1fe67e86;Mikel Balenziaga;2b390eca;ESP;NO;2021-12-06;Lun;Semana 16 de partido;Visitante;E 0–0;Athletic Club;Getafe;No;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.
2021-2022;1fe67e86;Mikel Balenziaga;2b390eca;ESP;NO;2022-03-07;Lun;Semana 27 de partido;Local;V 3–1;Athletic Club;Levante;No;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.
2021-2022;1fe67e86;Mikel Balenziaga;2b390eca;ESP;NO;2022-03-18;Vie;Semana 29 de partido;Local;E 1–1;Athletic Club;Getafe;No;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.
2021-2022;1fe67e86;Mikel Balenziaga;2b390eca;ESP;NO;2022-04-03;Dom;Semana 30 de partido;Local;V 2–1;Athletic Club;Elche;No;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.
2021-2022;1fe67e86;Mikel Balenziaga;2b390eca;ESP;NO;2022-04-09;Sáb;Semana 31 de partido;Visitante;E 1–1;Athletic Club;Villarreal;Sí;LB;90;0;0;0;0;0;0;0;0;53;5;0;0;0.0;0.0;0.0;3;0;34;46;73.9;4;30;1;0;0
2021-2022;1fe67e86;Mikel Balenziaga;2b390eca;ESP;NO;2022-04-21;Jue;Semana 33 de partido;Visitante;V 3–2;Athletic Club;Cádiz;Sí;LB;90;0;0;0;0;0;0;0;0;52;3;0;2;0.0;0.0;0.0;0;0;30;40;75.0;0;10;0;0;0
2021-2022;1fe67e86;Mikel Balenziaga;2b390eca;ESP;NO;2022-04-30;Sáb;Semana 34 de partido;Local;V 2–0;Athletic Club;Atlético Madrid;No;LB;3;0;0;0;0;0;0;0;0;4;0;0;0;0.0;0.0;0.0;0;0;4;4;100.0;0;1;0;0;0
2021-2022;1fe67e86;Mikel Balenziaga;2b390eca;ESP;NO;2022-04-17;Dom;Semana 32 de partido;Local;D 0–2;Athletic Club;Celta Vigo;No;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.
2021-2022;1fe67e86;Mikel Balenziaga;2b390eca;ESP;NO;2022-05-07;Sáb;Semana 35 de partido;Local;E 0–0;Athletic Club;Valencia;No;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.
2021-2022;cee88597;Iván Balliu;98e8af82;ALB;NO;2022-03-06;Dom;Semana 27 de partido;Visitante;D 0–2;Rayo Vallecano;Cádiz;Sí;RB;90;0;0;0;0;0;0;0;0;51;0;1;0;0.0;0.0;0.2;2;0;36;46;78.3;3;35;4;0;0
2021-2022;cee88597;Iván Balliu;98e8af82;ALB;NO;2022-03-13;Dom;Semana 28 de partido;Local;E 1–1;Rayo Vallecano;Sevilla;Sí;RB;90;0;1;0;0;0;0;0;0;48;0;1;1;0.0;0.0;0.0;3;1;31;44;70.5;6;22;4;0;0
2021-2022;cee88597;Iván Balliu;98e8af82;ALB;NO;2022-03-19;Sáb;Semana 29 de partido;Local;D 0–1;Rayo Vallecano;Atlético Madrid;Sí;RB;90;0;0;0;0;1;1;0;0;76;2;1;1;0.1;0.1;0.0;3;0;53;68;77.9;8;34;4;1;0
2021-2022;1fe67e86;Mikel Balenziaga;2b390eca;ESP;NO;2022-05-10;Mar;Semana 36 de partido;Visitante;D 0–1;Athletic Club;Granada;No;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.
2021-2022;1fe67e86;Mikel Balenziaga;2b390eca;ESP;NO;2022-05-15;Dom;Semana 37 de partido;Local;V 2–0;Athletic Club;Osasuna;No;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.
2021-2022;cee88597;Iván Balliu;98e8af82;ALB;NO;2021-08-15;Dom;Semana 1 de partido;Visitante;D 0–3;Rayo Vallecano;Sevilla;Sí;RB;90;0;0;0;0;0;0;0;0;30;1;1;0;0.0;0.0;0.0;1;0;21;26;80.8;3;12;0;0;0
2021-2022;cee88597;Iván Balliu;98e8af82;ALB;NO;2021-08-22;Dom;Semana 2 de partido;Visitante;D 0–1;Rayo Vallecano;Real Sociedad;Sí;RB;90;0;0;0;0;0;0;1;0;45;3;2;1;0.0;0.0;0.0;2;0;23;31;74.2;4;23;1;4;2
2021-2022;cee88597;Iván Balliu;98e8af82;ALB;NO;2021-08-29;Dom;Semana 3 de partido;Local;V 4–0;Rayo Vallecano;Granada;Sí;RB;90;0;0;0;0;0;0;0;0;60;0;1;0;0.0;0.0;0.0;1;1;39;57;68.4;2;23;2;0;0
2021-2022;cee88597;Iván Balliu;98e8af82;ALB;NO;2021-09-11;Sáb;Semana 4 de partido;Visitante;E 1–1;Rayo Vallecano;Levante;Sí;RB;90;0;0;0;0;0;0;1;0;49;1;0;1;0.0;0.0;0.0;3;1;32;43;74.4;1;28;4;0;0
2021-2022;cee88597;Iván Balliu;98e8af82;ALB;NO;2021-09-18;Sáb;Semana 5 de partido;Local;V 3–0;Rayo Vallecano;Getafe;Sí;RB;90;0;0;0;0;1;0;1;0;66;0;1;2;0.0;0.0;0.3;2;0;47;55;85.5;5;25;2;3;0
2021-2022;1fe67e86;Mikel Balenziaga;2b390eca;ESP;NO;2022-05-22;Dom;Semana 38 de partido;Visitante;D 0–1;Athletic Club;Sevilla;No;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.
2021-2022;981c1863;Barbero;03c57e2b;ESP;SI;2021-08-14;Sáb;Semana 1 de partido;Local;E 0–0;Osasuna;Espanyol;No;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.
2021-2022;981c1863;Barbero;03c57e2b;ESP;SI;2021-09-26;Dom;Semana 7 de partido;Visitante;V 3–2;Osasuna;Mallorca;No;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.
2021-2022;981c1863;Barbero;03c57e2b;ESP;SI;2021-10-02;Sáb;Semana 8 de partido;Local;V 1–0;Osasuna;Rayo Vallecano;No;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.
